subject,xmin,xmax,ymin,ymax,zmin,zmax,surface_area,cg_x,cg_y,cg_z,density,mass,volume,cg_inert_tensor_x,cg_inert_tensor_y,cg_inert_tensor_z,HORZ_DIAMETER,VERT_DIAMETER,TUBE_LENGTH

capsule,-200.00000000000014,199.99999999999986,-100.0,100.00000000000001,-50.04099216029094,50.04099216029094,143406.43953730768,-49.99999999878852,0.0,3.6489776904357947,1.55e-06,0.3309692950786505,213528.5774700971,596.8549504152184,1322.2084249954323,1328.1075557790177,100,100,100

capsule,-250.00000000000006,249.99999999999991,-100.00000000000003,99.99999999999997,-50.657419174631684,50.657419174631684,181249.6863441407,-75.00000007161027,0.0,3.7015006774521426,1.55e-06,0.4170771941307464,269082.0607295138,777.3277790628072,2432.11042609826,2442.511569255479,100,100,150

capsule,-300.00000000000017,299.99999999999983,-100.00000000000003,99.99999999999999,-50.0087754328094,50.0087754328094,219093.01156525416,-100.00000000244098,0.0,3.736045334753748,1.55e-06,0.5031847633098835,324635.33116766677,957.7984397861412,4063.358786971803,4078.2623166472617,100,100,200

capsule,-350.00000000000034,349.9999999999997,-100.00000000000003,99.99999999999999,-50.12235308575519,50.12235308575519,256936.3072134173,-125.00000017184846,0.0,3.7604195205120092,1.55e-06,0.5892895750485373,380186.82261195953,1138.2637311699145,6323.569719658898,6342.973644939692,100,100,250

capsule,-400.00000000000045,399.9999999999996,-100.00000000000004,99.99999999999997,-50.9967952259351,50.9967952259351,294779.65036430676,-150.00000006864485,0.0,3.7786116754128827,1.55e-06,0.6753959645328325,435739.3319566661,1318.7310581546888,9320.39283665461,9344.299677211236,100,100,300

capsule,-450.0000000000006,449.99999999999943,-99.99999999999997,100.00000000000003,-51.112849270258934,51.112849270258934,332622.83634156315,-175.00000000196664,0.0,3.792764382260125,1.55e-06,0.7615054167643042,491293.817267293,1499.2026834880794,13161.504461104432,13189.916402979079,100,100,350

capsule,-499.9999999999995,500.0000000000005,-100.00000000000006,99.99999999999994,-51.22978151649671,51.22978151649671,370466.18493449676,-199.99999998191123,0.0,3.803977482244159,1.55e-06,0.8476119972211329,546846.4498200858,1679.6689200123642,17954.463481479543,17987.378157629017,100,100,400

capsule,-550.0000000000002,549.9999999999998,-100.0,100.0,-50.09353942757764,50.09353942757764,408309.32656568737,-225.0000000002258,0.0,3.813176287042319,1.55e-06,0.9337215420238708,602400.9948541102,1860.1404189906768,23807.001744127057,23844.423132540433,100,100,450

capsule,-600.0000000000014,599.9999999999987,-99.99999999999997,100.00000000000003,-50.21132925564032,50.21132925564032,446152.67690807465,-250.0000000005615,0.0,3.820785886094978,1.55e-06,1.0198290024829666,657954.1951503011,2040.6087553158407,30826.648880723,30868.575208344064,100,100,500

capsule,-649.9999999999999,650.0000000000001,-100.0000000000001,99.9999999999999,-50.32931175789602,50.32931175789602,483996.03089274623,-275.000000000929,0.0,3.8271795946083236,1.55e-06,1.105934113507882,713505.8796825045,2221.073439991099,39120.98761750865,39167.416377199734,100,100,550

capsule,-700.000000000001,699.999999999999,-100.00000000000011,99.9999999999999,-50.447705975738295,50.447705975738295,521839.1744494851,-300.0000000144891,0.0,3.83274152964968,1.55e-06,1.1920442815866166,769060.8268300752,2401.5467205606733,48797.96600850955,48848.90070344067,100,100,600

capsule,-749.9999999999986,750.0000000000013,-100.00000000000016,99.99999999999986,-51.819914984226685,51.819914984226685,559682.4932101526,-325.00000000139704,0.0,3.837502549776146,1.55e-06,1.2781521416636425,824614.2849442855,2582.0154690551863,59964.91014713249,60020.349986362395,100,100,650

