capsule,xmin,xmax,ymin,ymax,zmin,zmax,surface_area,cg_x,cg_y,cg_z,density,mass,volume,cg_inert_tensor_x,cg_inert_tensor_y,cg_inert_tensor_z
,-200.00000000000006,199.99999999999997,-200.00000000000014,199.9999999999999,-50.6894093493341,50.6894093493341,245950.43288986947,-50.00000002260531,0.0,4.42411230856993,1.55e-06,0.5650796339284069,364567.5057602625,2321.5188557476895,2379.293034083295,3613.61578090965
,-250.00000000000006,249.99999999999997,-200.0,200.0,-50.268911211235604,50.268911211235604,308860.9323862835,-75.00000002267993,0.0,4.525068907202338,1.55e-06,0.7069315207170821,456084.85207553685,3007.5937356821073,4319.165810228797,5919.594371776513
,-300.0000000000001,299.9999999999999,-200.00000000000014,199.99999999999986,-50.3647435342153,50.3647435342153,371771.3736989439,-100.00000036380439,0.0,4.592292719098354,1.55e-06,0.8487839226810358,547602.5307619586,3693.6585050620884,7142.701155813743,9109.24425964973
,-349.9999999999998,350.00000000000017,-200.00000000000003,199.99999999999997,-50.97503312831408,50.97503312831408,434681.8822459488,-125.00000028352481,0.0,4.64025745923317,1.55e-06,0.99063555051317,639119.7100084968,4379.716893873996,11027.205294967607,13359.867943687434
,-400.0000000000003,399.9999999999997,-200.0,200.00000000000003,-51.08004991720768,51.08004991720768,497592.38979217014,-150.000000181933,0.0,4.676202975377311,1.55e-06,1.1324871723931837,730636.8854149573,5065.771531820707,16150.002912729884,18848.788062450785
,-450.0000000000001,449.99999999999994,-200.00000000000014,199.99999999999986,-50.42838535105125,50.42838535105125,560502.8685003745,-175.0000000677341,0.0,4.704138307866657,1.55e-06,1.2743380390423324,822153.5735756983,5751.823641870626,22688.389587317164,25753.29937328028
,-500.0000000000001,499.99999999999983,-200.00000000000006,199.99999999999994,-50.53853341454333,50.53853341454333,623413.3649401297,-200.00000006781374,0.0,4.726483586123979,1.55e-06,1.4161899993075122,913670.9672951691,6437.876373893343,30819.7192814529,34250.7573226171
,-549.9999999999999,550.0000000000001,-200.0,200.0,-50.65021556113239,50.65021556113239,686249.6520981572,-224.99999404999565,0.0,4.7394164335166025,1.55e-06,1.5592325100474609,1005956.4580951361,7132.489275412756,40750.2141352121,44554.36257469971
,-600.0000000000003,599.9999999999997,-200.00000000000006,199.99999999999997,-51.522678951054885,51.522678951054885,749153.3438087992,-249.99999464255413,0.0,4.754631684334734,1.55e-06,1.7011965293081956,1097546.1479407714,7819.327136384942,52608.205052637015,56779.104423246106
,-650.0000000000002,649.9999999999998,-200.00000000000009,199.99999999999991,-51.636637911031656,51.636637911031656,812057.0896667482,-274.99999540569934,0.0,4.767491645914048,1.55e-06,1.843159309985757,1189135.0387004884,8506.165230518367,66592.6391711689,71130.2920683663
,-700.0000000000007,699.9999999999994,-200.00000000000006,199.99999999999997,-51.7514041476539,51.7514041476539,874960.8405700633,-300.0000003259765,0.0,4.778513939304227,1.55e-06,1.9851224521980453,1280724.1627084163,9193.002202276633,82881.04404027975,87785.4494851545
,-749.9999999999998,750.0000000000001,-200.00000000000003,199.99999999999997,-51.86690862446948,51.86690862446948,937864.5898332798,-325.0000002368971,0.0,4.788062177939996,1.55e-06,2.127085385047656,1372313.1516436492,9879.839508407691,101650.84745951039,106922.0067780853
,-800.0000000000009,799.9999999999992,-200.00000000000009,199.99999999999994,-50.72926770436775,50.72926770436775,1000768.2118152365,-349.99999556780216,0.0,4.79640775159737,1.55e-06,2.2690482544129127,1463902.099621234,10566.683711355034,123079.44711076848,128717.36805114719
