vehicle,drag_x,drag_y,drag_z,drag_cx,drag_cy,drag_cz,capsule_fuselage_TUBE_LENGTH
capsule,13783.559230822548,13783.559230822548,13783.559230822548,50.0,-5.345851275858867e-16,-43.100000000000016,112.70628701613327
capsule,2483.3745282340487,16125.65685711338,16125.65685711338,50.0,1.2891658925548185e-15,-43.1,123.88882380755068
capsule,18872.990298538112,18872.990298538112,18872.990298538112,50.00000000000001,1.2509924247823239e-15,-43.099999999999994,135.31409959041375
capsule,2475.5287680749075,16960.234154676433,16960.234154676433,50.0,1.6498427610454256e-15,-43.1,127.52771868995403
capsule,2452.064620234211,19965.75688246911,19965.75688246911,50.00000000000001,-5.486001318833498e-16,-43.100000000000016,139.46285283729202
capsule,2452.604202861232,19886.50292980992,19886.50292980992,50.00000000000001,-1.4431206337098536e-16,-43.10000000000001,139.16855693798954
capsule,2469.7771140869504,17621.140458422673,17621.140458422673,49.999999999999986,2.2386133189238747e-15,-43.1,130.30024177156886
capsule,2486.308353654812,15831.801506406673,15831.801506406673,50.0,1.4279001170607504e-15,-43.10000000000001,122.56817680886496
capsule,15846.058468143885,15846.058468143885,15846.058468143885,50.00000000000001,1.7936836357748165e-15,-43.10000000000001,122.63274668872195
capsule,20315.304467346556,20315.304467346556,20315.304467346556,49.99999999999999,-3.397416583009511e-17,-43.1,140.74911331522821
capsule,2465.897462172086,18092.644159963867,18092.644159963867,49.99999999999999,-4.050450130281506e-16,-43.10000000000001,132.22366872551623
capsule,22290.289783795408,22290.289783795408,22290.289783795408,50.000000000000014,2.389561171909584e-15,-43.10000000000001,147.68373892446283
capsule,2451.2869922598165,20080.935309834585,20080.935309834585,50.0,1.1690623777436204e-15,-43.100000000000016,139.88878284667604
capsule,2426.7336569461077,24405.215302638004,24405.215302638004,50.0,1.287034033007202e-15,-43.1,154.5602349998152
capsule,21353.135762003145,21353.135762003145,21353.135762003145,50.0,2.787128135361852e-15,-43.10000000000001,144.4606703927673
capsule,2472.988881205184,17246.684070443443,17246.684070443443,50.0,2.0651584574808584e-15,-43.1,128.74070445210046
capsule,2469.005522829663,17713.20614402867,17713.20614402867,50.0,9.367586589373362e-16,-43.099999999999994,130.6792757847092
capsule,2502.1973612044594,14391.515385126786,14391.515385126786,50.00000000000001,1.115289419950638e-15,-43.099999999999994,115.76323421358681
capsule,16856.487669630027,16856.487669630027,16856.487669630027,49.999999999999986,1.3395335716689187e-15,-43.1,127.0839969206578
capsule,2443.399206743373,21316.982956228905,21316.982956228905,49.99999999999999,1.7691602753823931e-15,-43.1,144.33396679701255
capsule,17319.67169818093,17319.67169818093,17319.67169818093,50.00000000000001,-2.371519074372685e-16,-43.10000000000001,129.04697294851798
