vehicle,drag_x,drag_y,drag_z,drag_cx,drag_cy,drag_cz
capsule,11500.100009576325,11500.100009576325,11500.100009576325,50.0,9.372394083772405e-16,-43.099999999999994
capsule,11500.100009576325,11500.100009576325,11500.100009576325,50.0,9.372394083772405e-16,-43.099999999999994
capsule,11500.100009576325,11500.100009576325,11500.100009576325,50.0,9.372394083772405e-16,-43.099999999999994
capsule,11500.100009576325,11500.100009576325,11500.100009576325,50.0,9.372394083772405e-16,-43.099999999999994
capsule,11500.100009576325,11500.100009576325,11500.100009576325,50.0,9.372394083772405e-16,-43.099999999999994
capsule,11500.100009576325,11500.100009576325,11500.100009576325,50.0,9.372394083772405e-16,-43.099999999999994
capsule,11500.100009576325,11500.100009576325,11500.100009576325,50.0,9.372394083772405e-16,-43.099999999999994
capsule,11500.100009576325,11500.100009576325,11500.100009576325,50.0,9.372394083772405e-16,-43.099999999999994
capsule,11500.100009576325,11500.100009576325,11500.100009576325,50.0,9.372394083772405e-16,-43.099999999999994
capsule,11500.100009576325,11500.100009576325,11500.100009576325,50.0,9.372394083772405e-16,-43.099999999999994
capsule,11500.100009576325,11500.100009576325,11500.100009576325,50.0,9.372394083772405e-16,-43.099999999999994
capsule,11500.100009576325,11500.100009576325,11500.100009576325,50.0,9.372394083772405e-16,-43.099999999999994
capsule,11500.100009576325,11500.100009576325,11500.100009576325,50.0,9.372394083772405e-16,-43.099999999999994
capsule,11500.100009576325,11500.100009576325,11500.100009576325,50.0,9.372394083772405e-16,-43.099999999999994
capsule,11500.100009576325,11500.100009576325,11500.100009576325,50.0,9.372394083772405e-16,-43.099999999999994
capsule,11500.100009576325,11500.100009576325,11500.100009576325,50.0,9.372394083772405e-16,-43.099999999999994
capsule,11500.100009576325,11500.100009576325,11500.100009576325,50.0,9.372394083772405e-16,-43.099999999999994
capsule,11500.100009576325,11500.100009576325,11500.100009576325,50.0,9.372394083772405e-16,-43.099999999999994
capsule,11500.100009576325,11500.100009576325,11500.100009576325,50.0,9.372394083772405e-16,-43.099999999999994
capsule,11500.100009576325,11500.100009576325,11500.100009576325,50.0,9.372394083772405e-16,-43.099999999999994
capsule,11500.100009576325,11500.100009576325,11500.100009576325,50.0,9.372394083772405e-16,-43.099999999999994
capsule,11500.100009576325,11500.100009576325,11500.100009576325,50.0,9.372394083772405e-16,-43.099999999999994
capsule,11500.100009576325,11500.100009576325,11500.100009576325,50.0,9.372394083772405e-16,-43.099999999999994
capsule,11500.100009576325,11500.100009576325,11500.100009576325,50.0,9.372394083772405e-16,-43.099999999999994
capsule,11500.100009576325,11500.100009576325,11500.100009576325,50.0,9.372394083772405e-16,-43.099999999999994
capsule,11500.100009576325,11500.100009576325,11500.100009576325,50.0,9.372394083772405e-16,-43.099999999999994
capsule,11500.100009576325,11500.100009576325,11500.100009576325,50.0,9.372394083772405e-16,-43.099999999999994
capsule,11500.100009576325,11500.100009576325,11500.100009576325,50.0,9.372394083772405e-16,-43.099999999999994
capsule,11500.100009576325,11500.100009576325,11500.100009576325,50.0,9.372394083772405e-16,-43.099999999999994
capsule,11500.100009576325,11500.100009576325,11500.100009576325,50.0,9.372394083772405e-16,-43.099999999999994
capsule,11500.100009576325,11500.100009576325,11500.100009576325,50.0,9.372394083772405e-16,-43.099999999999994
capsule,11500.100009576325,11500.100009576325,11500.100009576325,50.0,9.372394083772405e-16,-43.099999999999994
capsule,11500.100009576325,11500.100009576325,11500.100009576325,50.0,9.372394083772405e-16,-43.099999999999994
capsule,11500.100009576325,11500.100009576325,11500.100009576325,50.0,9.372394083772405e-16,-43.099999999999994
capsule,11500.100009576325,11500.100009576325,11500.100009576325,50.0,9.372394083772405e-16,-43.099999999999994
capsule,11500.100009576325,11500.100009576325,11500.100009576325,50.0,9.372394083772405e-16,-43.099999999999994
capsule,11500.100009576325,11500.100009576325,11500.100009576325,50.0,9.372394083772405e-16,-43.099999999999994
capsule,11500.100009576325,11500.100009576325,11500.100009576325,50.0,9.372394083772405e-16,-43.099999999999994
capsule,11500.100009576325,11500.100009576325,11500.100009576325,50.0,9.372394083772405e-16,-43.099999999999994
capsule,11500.100009576325,11500.100009576325,11500.100009576325,50.0,9.372394083772405e-16,-43.099999999999994
capsule,11500.100009576325,11500.100009576325,11500.100009576325,50.0,9.372394083772405e-16,-43.099999999999994
capsule,11500.100009576325,11500.100009576325,11500.100009576325,50.0,9.372394083772405e-16,-43.099999999999994
capsule,11500.100009576325,11500.100009576325,11500.100009576325,50.0,9.372394083772405e-16,-43.099999999999994
capsule,11500.100009576325,11500.100009576325,11500.100009576325,50.0,9.372394083772405e-16,-43.099999999999994
capsule,11500.100009576325,11500.100009576325,11500.100009576325,50.0,9.372394083772405e-16,-43.099999999999994
capsule,11500.100009576325,11500.100009576325,11500.100009576325,50.0,9.372394083772405e-16,-43.099999999999994
capsule,11500.100009576325,11500.100009576325,11500.100009576325,50.0,9.372394083772405e-16,-43.099999999999994
capsule,11500.100009576325,11500.100009576325,11500.100009576325,50.0,9.372394083772405e-16,-43.099999999999994
capsule,11500.100009576325,11500.100009576325,11500.100009576325,50.0,9.372394083772405e-16,-43.099999999999994
capsule,11500.100009576325,11500.100009576325,11500.100009576325,50.0,9.372394083772405e-16,-43.099999999999994
capsule,11500.100009576325,11500.100009576325,11500.100009576325,50.0,9.372394083772405e-16,-43.099999999999994
capsule,11500.100009576325,11500.100009576325,11500.100009576325,50.0,9.372394083772405e-16,-43.099999999999994
capsule,11500.100009576325,11500.100009576325,11500.100009576325,50.0,9.372394083772405e-16,-43.099999999999994
capsule,11500.100009576325,11500.100009576325,11500.100009576325,50.0,9.372394083772405e-16,-43.099999999999994
capsule,11500.100009576325,11500.100009576325,11500.100009576325,50.0,9.372394083772405e-16,-43.099999999999994
capsule,11500.100009576325,11500.100009576325,11500.100009576325,50.0,9.372394083772405e-16,-43.099999999999994
capsule,11500.100009576325,11500.100009576325,11500.100009576325,50.0,9.372394083772405e-16,-43.099999999999994
capsule,11500.100009576325,11500.100009576325,11500.100009576325,50.0,9.372394083772405e-16,-43.099999999999994
capsule,11500.100009576325,11500.100009576325,11500.100009576325,50.0,9.372394083772405e-16,-43.099999999999994
