vehicle,drag_x,drag_y,drag_z,drag_cx,drag_cy,drag_cz,capsule_fuselage_VERT_DIAMETER
capsule,2429.3378412902184,14210.175542826582,14210.175542826582,50.00000000000001,2.684594768427766e-16,-43.1,73.76229558533181
capsule,18434.80187286054,18434.80187286054,18434.80187286054,50.00000000000001,-1.931298634541738e-15,-43.1,82.66497181153792
capsule,17166.539081814546,17166.539081814546,17166.539081814546,50.000000000000014,-7.78989677839267e-16,-43.100000000000016,89.49282401607374
capsule,2409.375867731991,17093.68866783466,17093.68866783466,49.99999999999998,-2.3910098732286663e-15,-43.09999999999999,102.3888748494236
capsule,12957.014662032238,12957.014662032238,12957.014662032238,50.0,1.0373813442869223e-15,-43.1,113.5375918809528
capsule,11918.104293114497,11918.104293114497,11918.104293114497,50.0,6.140155022261329e-16,-43.099999999999994,107.83632871311518
capsule,2456.3972927448212,10057.615878114368,10057.615878114368,50.00000000000001,1.6966797637378395e-15,-43.099999999999994,88.40828570443344
capsule,2526.3326974685788,7981.7793329341275,7981.7793329341275,50.0,4.928203119572189e-16,-43.1,77.099920851949
capsule,2596.8973190500424,8198.247722117934,8198.247722117934,49.99999999999999,-1.0852065450274429e-15,-43.09999999999999,87.10634534193414
capsule,2680.526895673727,8010.406854268681,8010.406854268681,50.000000000000014,-1.9807084139920346e-15,-43.10000000000001,98.50708654356663
capsule,2718.827612999216,6320.123857961732,6320.123857961732,50.00000000000001,-4.903839733296907e-17,-43.099999999999994,104.61384923546318
capsule,2697.14732073604,8258.32805553179,8258.32805553179,49.999999999999986,-5.311056190177989e-16,-43.09999999999999,107.14475431910226
capsule,7400.015394935648,7400.015394935648,7400.015394935648,50.0,1.0519214768702779e-16,-43.1,124.88874450950908
capsule,2812.094530935909,8594.263885138154,8594.263885138154,50.00000000000001,-5.819897319874808e-16,-43.09999999999999,124.59900553321104
capsule,9561.584974614008,9561.584974614008,9561.584974614008,49.99999999999999,1.1148010727295497e-15,-43.1,139.32801566237197
capsule,2917.937221793692,7733.3411745379535,7733.3411745379535,50.0,9.547248629020055e-16,-43.10000000000001,146.24907076401394
capsule,3047.5655501108677,8136.475238007431,8136.475238007431,50.0,-1.746375113453831e-15,-43.1,164.78833311282415
capsule,2755.3039633498793,8864.021637088965,8864.021637088965,50.0,-8.517480780691592e-16,-43.10000000000001,147.58955451923416
