vehicle,drag_x,drag_y,drag_z,drag_cx,drag_cy,drag_cz,tbar_cross_1_LENGTH,tbar_post_1_LENGTH
tbar,90824.41027158749,82901.38533051517,103277.54963642548,-671.3555807260893,-131.88837225926528,359.99999999999983,487.9928183964861,482.97735170626254
tbar,90799.77040377136,84003.12939612202,103937.71495933435,-675.2217690475122,-140.04666267397133,359.99999999999994,475.56445983612616,500.998540935868
tbar,91744.27949121702,84167.06268498188,104590.63501527211,-673.5551642719704,-133.06005967315187,360.0000000000001,488.7693051567456,493.32514536987077
tbar,93066.62466869468,86001.34780824659,106486.52519298278,-676.8509955753026,-134.79917035366742,359.9999999999998,489.73773895057934,508.41843484968683
tbar,90773.55300955974,83557.11653525519,103649.45952087223,-673.7078229802397,-137.0828530717074,359.99999999999983,480.0181370423953,494.1028029292768
tbar,91223.79545403607,83640.67322836077,103963.94195539261,-672.9500812357812,-133.7781790094789,359.9999999999997,486.2550212208845,490.53017108833035
tbar,94930.0786277104,87202.46093935668,108311.81490057026,-676.595032243631,-127.31299069219635,360.0,506.2056670665491,507.4141124436809
tbar,91594.60822155856,83930.51028254206,104358.26928086663,-673.0893964150124,-132.64952516028038,360.0000000000001,488.97690443923244,491.1489752449496
tbar,94176.9625295182,86225.43971606987,107273.51898377512,-674.9806376670377,-126.79252815374757,359.99999999999994,504.91409759406866,499.909380375182
tbar,94978.96162691951,86905.35460217409,108158.76956671683,-675.4468927666622,-124.7347474421534,359.99999999999994,510.222991351964,502.1002089420344
tbar,94531.89157593914,86668.20503793668,107752.0600521177,-675.6774999627046,-126.91132579450145,359.99999999999983,505.7152843793281,503.16232832048826
tbar,95802.54941720434,88339.23235803256,109517.389525936,-678.5084249597454,-127.93514849442442,360.0,507.6532406174112,516.1800028613596
tbar,96880.50009671191,88901.27001629512,110492.18029575389,-677.87218289204,-122.64173870149796,359.99999999999983,518.6262696711892,513.4652683958412
tbar,99440.1256610528,91171.66406854328,113378.37507247372,-679.6604707039506,-116.80620140906801,359.9999999999997,534.4837919387222,522.0591950373928
tbar,97749.28156548137,89681.45529306222,111477.68223374254,-678.516807443071,-120.7304813738586,359.99999999999983,523.9037165215707,516.5368596910836
tbar,97963.17382395931,89831.03734636641,111694.35221955458,-678.5251363054945,-119.95221978805978,359.99999999999983,525.6662170327015,516.6099577788235
tbar,96732.61114972942,87900.12608875167,109793.54984396837,-674.7865677556011,-116.62734142209456,360.00000000000006,527.2007651657274,498.972070901025
tbar,94440.14001956713,85377.36450738946,106908.1507982546,-671.5729305752706,-118.24034991497794,359.9999999999998,518.3594237800322,483.3687047023023
tbar,95017.88041353626,85241.65032311658,107162.45570858094,-669.9406798935258,-112.06218813937687,359.9999999999998,529.025320427555,474.8572446064388
tbar,92576.56418409984,83066.46606799438,104402.0653810184,-668.1948307158925,-117.5700999247326,359.9999999999998,514.0363564638749,466.4605578136461
tbar,93906.14047650203,84804.42110834128,106244.8967078171,-670.8775903551488,-118.72102720944969,359.9999999999997,516.1418609502919,479.9672692451339
tbar,92531.1958028037,84264.17202022027,105110.24358993876,-672.0994430745719,-126.8864551428205,360.0,500.20577233498335,486.2907312403963
tbar,92923.12605028818,84169.24062594883,105281.11629645531,-670.9349847387043,-122.72707693393885,359.9999999999999,507.4706863331488,480.47342753071393
tbar,94300.56308045136,86162.18612927145,107307.14272695848,-674.4778758409207,-125.25231958731558,360.0,507.56676409539546,497.5415696449252
tbar,90707.85426365412,82526.69854301616,102979.73372936288,-670.374226982326,-130.16620050856304,359.9999999999999,490.2397599542849,478.2073543607563
tbar,88880.82076699345,81111.46757778217,101044.51750831427,-669.6940069897651,-135.841497443045,360.0000000000001,476.69178559926695,475.36044056107403
tbar,90437.53719314253,81627.86263893828,102270.28846754458,-668.0706867874044,-125.90191109643396,359.9999999999999,495.7854413912951,466.65134932637045
tbar,91750.68896847167,83012.83321013188,103887.0214561664,-669.7177166721261,-124.54120155228433,360.0000000000001,501.4932036965165,474.64032862354514
tbar,92243.1640383553,82422.06367132271,103811.62165082822,-666.9110697249445,-115.6910230103562,359.9999999999996,515.7985024825224,459.6962529598136
tbar,93227.81024964918,82697.10956152246,104554.81167906935,-665.8619689638514,-108.85850069508061,359.99999999999983,528.4488172236988,453.3421428794782
tbar,92709.03636819984,82846.86501592038,104344.43440080767,-667.2741826827458,-114.71377209255357,359.99999999999994,518.5508295019381,461.45784296336376
tbar,91817.3200964495,81062.1709820791,102726.5025347844,-663.8113636715241,-109.11240965607894,359.9999999999998,523.9548678649346,442.346906271971
tbar,92510.30600095264,80425.77431777776,102736.71448964844,-661.0221029272898,-97.6656204806606,359.99999999999994,542.0091176719992,424.3791707551525
tbar,92334.20954932689,80858.82989727963,102901.83564578975,-662.399026591011,-102.74740378333848,359.9999999999998,534.4285908786306,433.35858148586465
tbar,90415.5841714482,78560.09946508464,100366.56558759001,-659.5933290526332,-102.38548769462827,359.9999999999997,529.1776199593294,417.1310898984689
tbar,92412.16529829697,80688.53089003035,102842.02418698097,-661.8350300899614,-100.67510612458791,359.9999999999999,537.547329185101,429.73312864957916
tbar,93522.13275645256,81803.07361113679,104175.37460459763,-662.9176168282551,-99.16899903657372,359.9999999999997,542.9647933231645,435.61162758276487
tbar,90382.89272938643,78827.74353264012,100513.16551115495,-660.3019993897974,-104.82652652882483,359.9999999999997,525.7014007054909,421.84928373075127
tbar,89455.51258267915,78321.59953534139,99661.63781038203,-660.4609278033938,-109.45193643806057,359.9999999999996,516.4912570455176,423.8454007290235
tbar,87592.4358617845,77210.11294208898,97892.38358526857,-660.5499625310262,-117.95615108810654,359.9999999999999,499.03336326145836,426.3144137758965
tbar,86621.52772957974,75750.33275342076,96425.69017468258,-658.323549481812,-115.47087975997677,359.9999999999999,499.6547175315687,413.2674327658638
tbar,84531.94185415526,73173.5073912577,93616.31708232661,-655.1268907220733,-114.4593434785607,360.0,494.7958603322048,394.3256638992459
tbar,85080.28285663875,72545.74225416698,93541.97815474907,-653.1340151033723,-104.09836205932434,359.99999999999994,510.55238501529897,377.9393499502718
tbar,81532.5644792811,69176.51217671692,89391.5386887583,-650.2913083303454,-110.29701133720467,359.9999999999996,491.2515086297875,362.07826867045264
tbar,83133.82293584236,71293.97222080293,91637.99605745143,-652.7619128076141,-112.44035078649837,359.99999999999994,493.30427064092544,379.0571874107652
tbar,85201.8718930589,73515.52464244992,94216.44432749752,-655.0331757358047,-110.89146423087989,359.9999999999999,501.7169722114893,392.4887482747005
tbar,86513.51603661939,74033.55952938559,95296.94002180218,-654.5429525391133,-102.62973679332336,359.9999999999998,516.9536384456643,386.4058943469153
tbar,87233.52637277584,74769.32408515149,96171.07292281337,-655.2323757656786,-101.79027094631363,360.0,520.303316314001,390.46175131677694
tbar,86017.94557164365,74470.02757467376,95281.86254263893,-656.1214985997985,-110.89683232709196,359.99999999999983,504.18135183825177,399.0504466051384
tbar,83037.11099373431,71352.85784575148,91618.92886086585,-652.9950690262375,-113.84601859645107,359.9999999999998,491.09945317241943,381.1004701876724
tbar,82040.1304478981,69582.47770513961,89937.83752935944,-650.5575830807304,-108.77554555466477,360.0,494.86039187019793,363.0975547752974
tbar,83036.1259454564,70519.97897174167,91098.00753072753,-651.3368064193634,-106.96917889972978,359.99999999999983,500.3688123713297,367.41793645450383
tbar,84000.19039029702,70605.52592991633,91705.99876012791,-650.5888649073355,-98.29581620183073,359.9999999999998,514.8899790037491,358.04758867976057
tbar,85877.6736083333,71723.04961893376,93485.83288978666,-650.8633663701418,-89.37107571902058,359.99999999999994,532.5382041027885,355.4778758277204
tbar,82575.88465567063,68308.62197193244,89443.3999115952,-648.0622077597761,-92.57482079560201,359.9999999999998,517.7818949371452,335.9872435769629
tbar,84088.10510330247,69532.89976620948,91081.26671833968,-648.8270590427746,-88.15891828350267,359.9999999999995,528.351196232686,339.2937267115058
tbar,83397.73766912737,69935.24112921928,90939.15475794375,-649.9668633641912,-98.49703192141698,359.9999999999999,512.7194674409643,353.7215023372737
tbar,83601.5963740843,69429.37191019024,90737.58220528967,-649.0080596802646,-92.11539146641648,359.9999999999997,521.6810158601506,343.0522587159305
tbar,86308.29003447211,72260.65199114276,94070.61395583262,-651.393733636119,-89.73605405339606,359.9999999999997,533.4354254107901,359.5348400358025
tbar,85290.12554154701,71584.00879228393,93061.06989669643,-651.1355824796736,-93.97004941661173,359.99999999999983,524.6558521697433,359.76169355656367
tbar,84230.5003788573,70027.63640934178,91474.77937377768,-649.4619133400258,-91.05335604255703,359.9999999999999,525.0766297319167,345.9020788136943
tbar,81100.6023353711,67311.94313959697,87970.43405296605,-647.5774511262708,-98.6116147066397,359.99999999999994,505.24216935437096,336.0482030946039
tbar,82557.7125165296,69061.34516894793,89907.76010299052,-649.2109305638143,-99.2881905288676,359.9999999999999,509.01767198569456,348.6854628016032
tbar,83023.81650391823,69355.08303304897,90359.81984950264,-649.32009885954,-97.20823031870499,360.0,513.2170458519735,348.31587751537876
tbar,84687.01708904115,70476.53645629055,92019.04744607507,-649.8145825997448,-90.4080886293744,359.99999999999966,527.3783483133822,348.2113251851038
tbar,83108.68511938231,68989.62404198342,90178.11467537236,-648.6959663203922,-93.20053076727459,359.99999999999983,518.69276409994,341.30077778921134
tbar,81450.38840899583,68100.28414588586,88668.05239832924,-648.523466541622,-101.96580631041994,360.0,501.9988160917145,345.20168392982646
tbar,80477.781043202,66273.90468296193,86957.66558314177,-646.5245445790457,-95.74062612156524,359.99999999999983,506.9239006990872,325.7864352615728
tbar,79856.20092257451,66999.07705414663,87061.11236424815,-647.9624542343844,-108.24498201569297,360.00000000000006,488.7206324253807,344.86609057035906
tbar,79655.75193532494,66157.75858179986,86415.23804550104,-646.8289601852151,-102.96645587580555,360.0000000000001,494.97059244620283,333.1443713204239
tbar,77674.90176716326,63963.59299065535,83894.39824796379,-644.9758101047995,-103.5602614895595,359.9999999999999,487.82463454635877,318.93411791580405
