vehicle,drag_x,drag_y,drag_z,drag_cx,drag_cy,drag_cz,fork_r_1_LENGTH,cylinder_1_LENGTH,fork_l_2_LENGTH,fork_r_2_LENGTH,tbar_cross_2_LENGTH,post_r_1_LENGTH,tbar_post_1_LENGTH,tbar_post_3_LENGTH,tbar_post_2_LENGTH,post_r_2_LENGTH,cylinder_0_LENGTH,fork_l_1_LENGTH,post_l_1_LENGTH,post_l_2_LENGTH,tbar_cross_1_LENGTH,tbar_cross_3_LENGTH,t_post_mp_top_prop_DIAMETER,t_post_mp_bottom_prop_DIAMETER,tail_tbar_cross_mp_prop_DIAMETER,fork_post_mp_1_prop_DIAMETER,t_cross_mp_bottom_prop_DIAMETER,tail_tbar_post_mp_prop_DIAMETER,fork_post_mp_2_prop_DIAMETER,fork_post_mp_3_prop_DIAMETER,t_cross_mp_top_prop_DIAMETER,fork_post_mp_4_prop_DIAMETER,right_wing_CHORD_1,right_wing_CHORD_2,right_wing_SPAN,left_wing_CHORD_1,left_wing_CHORD_2,left_wing_SPAN
tbar_double,1644198.1543033952,3233072.6316456175,3377501.5513473568,-394.21269153992034,28.79984937361187,-17.011679413208697,1481.8775174760256,1994.206128123908,1495.3103336660827,1508.1113172564683,1006.1459043443206,503.0861656378015,1992.7142717434479,1991.5120227562657,2011.0213653819571,481.8874279091975,2009.8179140656657,1505.3982987779304,506.168568397676,512.6586415806692,1014.6781379278046,999.801546501867,1584.8396959817323,1570.9383817938105,1563.133139926189,1581.4908815276815,1588.781734439291,1564.0294690620556,1566.9576835322935,1559.1389508897573,1571.9875286871659,1563.2042978227669,1380.692525404192,1415.1692574998979,8017.878792610231,1400.2491732953858,1384.8522171484237,8010.837595468996
tbar_double,1652491.9661296115,3224992.5135182743,3379606.793227813,-395.49035903485276,27.147322465306303,-15.27416788662363,1472.242772511529,1999.1179619046477,1476.5575249122023,1521.4223304778304,1016.2556718696362,488.1871848116412,1994.6856316846427,2005.8982179361858,2018.0282317772812,485.629233177862,2000.784175634525,1511.4763389002042,486.21618832291006,505.89039006817455,1014.1464217625856,991.4205677159788,1588.0247272532004,1557.310963457726,1560.9796647536223,1569.5635932377982,1601.7280874137139,1550.0214147024026,1555.8283087737523,1545.7695289607336,1553.6291899632733,1581.3334070567726,1380.4165688626333,1424.3446449990765,8028.826654663377,1415.3136594128914,1384.3629721328898,7996.878059900046
tbar_double,1639597.4378092766,3216880.44447311,3371500.504937059,-394.91957327318374,-8.286295258304682,-16.086326555913207,1456.842129341462,1986.851861385606,1481.611718298819,1509.0520923791714,1005.2772598895344,485.6596516801119,1983.9546752193994,1987.1866061060173,2011.5814219620183,503.8871792261877,1992.41216450218,1503.6431500729323,487.12621261405286,487.45079254632554,1024.0940587199727,973.1745669143692,1604.057456027884,1553.8198413037705,1579.605124024407,1556.4113223549093,1613.942855067089,1564.034510936887,1555.9791964781216,1526.2961346463248,1549.2241785151152,1570.5703367064984,1386.4992548729722,1419.4411052557082,8018.47589067968,1434.5301898909338,1387.261808733985,7988.955637606074
tbar_double,1650302.1369096823,3225572.7448916333,3372269.736150506,-396.0707789274452,-12.088951189989839,-15.426891706550537,1454.0625027205688,1979.3243463762444,1497.5244566516055,1520.2360079812818,995.1642540197487,503.0490612334276,1992.9471485179731,1975.9045799159555,2012.603731003378,515.0774958136933,2000.02486487478,1503.5892364107624,488.2389803879414,495.3848079304683,1025.8161564381617,982.8748118025998,1589.6947480179535,1565.5013239331497,1572.071301663627,1567.0550235523335,1603.350703098573,1560.0392588931998,1569.3218832825419,1510.3342025909842,1542.0067735299924,1552.6014703295523,1382.2213398553824,1410.4477243916801,8007.868294095443,1425.2347298142033,1387.5778964295698,7983.195635710602
tbar_double,1658069.2551329376,3228996.7454720065,3376598.420894655,-395.0600337130393,2.9496555534026463,-14.99461991175399,1463.4084447737328,1979.2683626293312,1489.977101042452,1508.589033061707,1014.5016303169753,521.1982462503358,1988.504008268086,1978.7065902038742,2029.0502953875366,528.1725233884952,1992.097311932704,1523.3270677868184,497.8219152466481,479.93739103892364,1038.9357386349288,1002.2081380575038,1588.3980214736623,1548.4163380581163,1589.0677640220533,1576.0335570746909,1620.9876682832994,1543.005836933545,1588.0452387614432,1503.3056084186937,1522.9601189502603,1535.7968843928884,1362.7945495841034,1418.230879420914,8013.165536156896,1424.4034339010173,1377.9659332919564,7997.231116200909
tbar_double,1653675.4686638138,3232637.745784754,3378852.5036954205,-396.3783508153966,-26.6257777984859,-13.372102518325743,1452.6573551047181,1967.1949966099626,1499.501720595414,1512.9225484416206,999.3595135452786,503.44764917342235,1971.7202511454693,1991.922191698446,2036.9292214106079,513.4819961537033,1997.6246930583782,1541.6327827648524,506.4799315661143,490.78771214203437,1053.504666183963,1011.9095194824596,1601.4987694800602,1548.7369961737659,1574.3575733422526,1559.4046943575659,1612.737080176978,1544.6091172318509,1574.2964974489716,1514.7074084031851,1526.2189731458643,1537.920333178501,1372.175326970989,1400.270993931936,8029.682980249365,1432.9715053924763,1377.9673128653722,8016.620057531925
tbar_double,1643783.0444315462,3225396.0570414457,3378508.8552761152,-394.70419032939884,-41.75923892614521,-14.938274132270655,1442.685900806945,1960.1596065851015,1483.116159458583,1496.1299773385613,1016.2528214455413,495.0325056657135,1968.4508953917284,2007.78987888077,2036.21171166743,503.0472011341613,2002.2283575660958,1553.3332688130113,493.3000071702261,507.1990007494941,1058.2773299371345,1001.1158411081979,1597.7673801756168,1563.6597734248737,1592.9969952803199,1556.702831983002,1603.385804025546,1533.5428021861585,1565.3574019917942,1505.7526292621417,1515.5027007589533,1537.928092965765,1369.7757216310808,1388.4822563142466,8018.14688522363,1427.4718434849483,1376.4794064871785,8007.990695921841
tbar_double,1655596.177020082,3224239.4460985675,3373229.9587750253,-394.2190603465878,-38.02991411367835,-14.20413119659706,1423.4004966915707,1979.6294448606104,1481.520145409623,1485.1417011684835,1007.9686055634406,491.3632624321823,1981.4768894588149,1995.2085326530826,2028.4111947800527,519.5053250919564,1998.1345545602017,1551.6170074117779,507.3643736180147,515.6025277673341,1038.755561390028,1010.6423886193396,1596.7933382021058,1571.4053012708096,1593.8885465932678,1543.9315655732275,1588.4285888024722,1514.4747023985524,1571.4910210562741,1515.1681524518415,1517.8767346329962,1523.0615103074329,1366.5875998325087,1375.097616159078,8016.339648876433,1408.970153436434,1367.6667345062758,8005.101847795227
tbar_double,1645965.3233352657,3226430.912159527,3369655.854078345,-387.23142507920574,-33.863376114878726,-14.216914898821093,1432.9366216366843,1979.255559449395,1470.2926400026147,1465.449737867294,1003.1465481747098,495.4653357028376,2000.5800846021475,2008.146684424916,2032.8546788254732,501.55451108378713,1990.2049816547164,1536.236469030883,519.7444515844945,503.0128764312912,1058.149856970872,1007.3547398135454,1577.83523592755,1565.9030204840608,1577.7073269860364,1529.8814019100912,1601.8428984996128,1510.3324941938217,1578.5151399683955,1520.1270488708483,1528.4602146358545,1534.6011878551722,1349.5927379560294,1385.0982626955572,8005.965854399055,1413.332860369627,1352.5747017977437,8007.255403887998
tbar_double,1646774.912574575,3228625.624105256,3368264.4046312454,-392.3813908982582,-25.2967850845035,-16.50705392892509,1441.486237111762,1961.871384692213,1454.2456546747653,1484.4195553694922,986.9308494434366,489.2186246469357,2017.9842133791442,2010.6256938319093,2028.1404834760733,513.3376379375305,1999.870275480763,1533.4254295204948,522.7281005459421,518.8643422764216,1066.976761263492,1017.4327133731205,1577.715657608359,1560.9617670935713,1559.5975569570676,1539.0866340922273,1599.490728490445,1499.3664826193676,1568.620993460409,1510.1842028829037,1528.9339562628488,1531.9548007825563,1357.4078845061472,1402.4578429813023,7986.156048222164,1417.7614167391037,1355.0501779476842,8022.414205697482
tbar_double,1661058.6695952264,3225377.0973555706,3365694.613321584,-396.7925289957834,1.9255174097106735,-17.607096280007347,1452.7122639821876,1964.866027391426,1441.4480495629934,1477.0851703676738,971.6348408593584,482.289004532474,2030.580717304115,2011.4581345925324,2010.7825470520418,517.7726569083712,1982.9790607546597,1548.6695248014573,516.2718145128757,531.213747099092,1071.4665336725707,1021.5270004524292,1571.5120938784064,1544.640605758784,1576.4017088071062,1543.8592197222652,1614.705093827009,1500.24249278453,1573.2721688422382,1510.38918474442,1536.0258406336068,1514.8838225566553,1376.4931119341675,1418.236165063746,7973.9401325526005,1406.8423092187497,1371.2959732944591,8015.317910540253
